Nombre,Precio,Activo
Cheeseburger,7000,Si
Hamburguesa Chacarera,7500,Si
Hamburguesa Gringa,7500,Si
Hamburguesa Italiana,7500,Si
Wistuburguer,8000,Si
Chorrillana Cerdo,10990,Si
Chorrillana Pollo,10990,Si
Chorrillana Vacuno,10990,Si
Chorrillana todas las carnes,11990,Si
Chorrillana pichanga,12990,Si
Chorrillana Mar y Tierra,14990,Si
Menú niños,5990,Si
Papas Fritas (caseras),6990,Si
SALCHI papas,7990,Si
Papas BRAVAS,9990,Si
Chicken papas,10990,Si
Papas gringas,10990,Si
Papas vegetarianas,10990,Si
Tabla Picoteo PEQUEÑO,4990,Si
Tabla Picoteo MEDIANO,8990,Si
Tabla surtida de la Wistu,12990,Si
Camarones salteados,14990,Si
Tabla campestre Filete de costillar,15990,Si
Tabla chilena,15990,Si
Salsa queso MERKEN,1500,Si
Salsa de AJO,1500,Si
Salsa Verde,1990,Si
Pebre,1990,Si
Pizza pollo champiñón,10990,Si
Pizza napolitana,10990,Si
Pizza pepperoni,10990,Si
Pizza vegetariana,10990,Si
Pizza queso camaron,12990,Si
Ceviche choritos 500 gr,10990,Si
Ceviche Salmon 500 gr,11990,Si
Té,1990,Si
Café,1990,Si
Dos Schop Budweiser 500cc,5990,Si
Promo Pisco (dos cortos de pisco + 1 bebida),6990,Si
Dos Mojitos Cubanos de 1/2 litro,7990,Si
Dos Mojitos de Sabor 1/2 litro,8990,Si
Dos Ramazzotti,8990,Si
Dos Aperol,8990,Si
Dos Electric Lemonade 450cc,8990,Si
Tequila x5 Promo (5 shot de tequila),10000,Si
Dos Gin Tropical,10990,Si
Dos Gin Frutal + Pulpa,11990,Si
Mojito Cubano 1/2 litro,5500,Si
Mojito Sabores 1/2 litro,5990,Si
Mojito Jagger 1/2 litro,6500,Si
Mojito Manzana 1/2 litro,6500,Si
Mojito Cerveza 800cc,7500,Si
Mojito Cubano de 1 litro,7500,Si
Mojito Electric Litro,7990,Si
Tequila,2500,Si
Wistufire (shot con fuego),3000,Si
Jagger,3500,Si
Jagger + Dick Fire,4000,Si
Wistulove (Ramazzotti - Pink Tonic - Gin - Frutos),7000,Si
Spritz Rose (Limonade Rose - Gin Pink - Espumante - Frutas),7500,Si
Base Chelada (sal - limón),1000,Si
"Base Michelada (limón, sal, merken)",1000,Si
Base Michelada Tabasco y Salsa Inglesa,1300,Si
Botellines 350cc,3000,Si
Austral Calafate,3500,Si
Schop Budweiser,3500,Si
Schop Kunstmann Torobayo,3990,Si
Artesanal,3990,Si
Gin con Gin,6500,Si
Gin + Pink Tonic,6500,Si
Gin Tonic,6500,Si
Gin Red Bull de Sabores,6990,Si
Gin Limonade Rose,7300,Si
Gin Frutal + Redbull (Pulpa Frutas),7500,Si
Angría 1/2 Lt.,3500,Si
Copa de Vino (Casillero del Diablo),4000,Si
Borgoña 1L,6500,Si
Sangría 1 Lt.,6500,Si
Alto del Carmen 35° + Bebida,4500,Si
Mistral 35° + Bebida,4500,Si
"Jack Daniels (Sabores: Fire, Manzana, N7, Honey)",7500,Si
Jack Daniels + Bebida,8500,Si
Jack Daniels + Red Bull,9000,Si
Johnnie Walker Red Label,5500,Si
Johnnie Walker Red Label + Bebida,6500,Si
Johnnie Walker Red Label + Red Bull,7000,Si
Pisco Mistral Nobel + Bebida,6500,Si
Vodka + Bebida,6000,Si
Jagger + Bebida,6500,Si
Jagger + Redbull,7000,Si
Fernet + Bebida,6000,Si
Agua Mineral con Gas,1500,Si
Agua Mineral sin Gas,1500,Si
Bebida 237cc,1990,Si
Agua Tónica,2500,Si
Coca Cola 350cc,2500,Si
Ginger Ale Nordic 350cc,2500,Si
Red Bull Sabores,2500,Si
Limonada,3200,Si
Jugos Naturales (Frutilla - Mango),3500,Si
Limonada Menta Jengibre,3500,Si
Amaretto Sour,4000,Si
Pisco Sour Tradicional (Copa Fina),4000,Si
"Pisco Sour Sabores 300cc (Frutilla, Mango, Maracuyá, Piña, Frambuesa)",5000,Si
Caipirinha,6000,Si
Caipiroska,6000,Si
Tom Collins,5990,Si
Negroni,6000,Si
Boulevardier,6000,Si
Ramazzotti Violetto Spritz,5990,Si
Aperol Spritz,5990,Si
Clavo Oxidado,6500,Si
Daikiri,5500,Si
Daiquiri Sabores,5990,Si
Electric Lemonade 500cc,5990,Si
John Collins,5990,Si
Ramazzotti Rosato Spritz,5990,Si
Ruso Blanco,5990,Si
Ruso Negro,4990,Si
Tequila Margarita,5500,Si
Tequila Margarita Sabores,5990,Si
Moscow Mule (Vodka),6000,Si
London Mule (Gin),6500,Si
Botellin 350cc sin Alcohol,3000,Si
Mojito Cubano sin Alcohol 500cc,4500,Si
Mojito Sabores sin Alcohol 500cc,4990,Si
Trilogía Chilena,19990,Si
