ID;Nombre;Precio;Activo
1;Cheeseburger;7000;si
2;Hamburguesa Chacarera;7500;si
3;Hamburguesa Gringa;7500;si
4;Hamburguesa Italiana;7500;si
5;Wistuburguer;8000;si
6;Chorrillana Cerdo;10990;si
7;Chorrillana Pollo;10990;si
8;Chorrillana Vacuno;10990;si
9;Chorrillana todas las carnes;11990;si
10;Chorrillana pichanga;12990;si
11;Chorrillana Mar y Tierra;14990;si
12;Menú niños;5990;si
13;Papas Fritas (caseras);6990;si
14;SALCHI papas;7990;si
15;Papas BRAVAS;9990;si
16;Chicken papas;10990;si
17;Papas gringas;10990;si
18;Papas vegetarianas;10990;si
19;Tabla Picoteo PEQUEÑO;4990;si
20;Tabla Picoteo MEDIANO;8990;si
21;Tabla surtida de la Wistu;12990;si
22;Camarones salteados;14990;si
23;Tabla campestre Filete de costillar;15990;si
24;Tabla chilena;15990;si
25;Salsa queso MERKEN;1500;si
26;Salsa de AJO;1500;si
27;Salsa Verde;1990;si
28;Pebre;1990;si
29;Pizza pollo champiñón;10990;si
30;Pizza napolitana;10990;si
31;Pizza pepperoni;10990;si
32;Pizza vegetariana;10990;si
33;Pizza queso camaron;12990;si
34;Ceviche choritos 500 gr;10990;si
35;Ceviche Salmon 500 gr;11990;si
36;Té;1990;si
37;Café;1990;si
38;Dos Schop Budweiser 500cc;5990;si
39;Promo Pisco (dos cortos de pisco + 1 bebida);6990;si
40;Dos Mojitos Cubanos de 1/2 litro;7990;si
41;Dos Mojitos de Sabor 1/2 litro;8990;si
42;Dos Ramazzotti;8990;si
43;Dos Aperol;8990;si
44;Dos Electric Lemonade 450cc;8990;si
45;Tequila x5 Promo (5 shot de tequila);10000;si
46;Dos Gin Tropical;10990;si
47;Dos Gin Frutal + Pulpa;11990;si
48;Mojito Cubano 1/2 litro;5500;si
49;Mojito Sabores 1/2 litro;5990;si
50;Mojito Jagger 1/2 litro;6500;si
51;Mojito Manzana 1/2 litro;6500;si
52;Mojito Cerveza 800cc;7500;si
53;Mojito Cubano de 1 litro;7500;si
54;Mojito Electric Litro;7990;si
55;Tequila;2500;si
56;Wistufire (shot con fuego);3000;si
57;Jagger;3500;si
58;Jagger + Jack Fire;4000;si
59;Wistulove (Ramazzotti - Pink Tonic - Gin - Frutos);7000;si
60;Spritz Rose (Limonade Rose - Gin Pink - Espumante - Frutas);7500;si
61;Base Chelada (sal - limón);1000;si
62;Base Michelada (limón, sal, merken);1000;si
63;Base Michelada Tabasco y Salsa Inglesa;1300;si
64;Botellines 350cc;3000;si
65;Botellin 350cc Austral Calafate;3500;si
66;Schop Budweiser;3500;si
67;Schop Kunstmann Torobayo;3990;si
68;Artesanal;3990;si
69;Gin con Gin;6500;si
70;Gin + Pink Tonic;6500;si
71;Gin Tonic;6000;si
72;Gin Red Bull de Sabores;6990;si
73;Gin Limonade Rose;7300;si
74;Gin Frutal + Redbull (Pulpa Frutas);7300;si
75;Angría 1/2 Lt.;3500;si
76;Copa de Vino (Casillero del Diablo);4000;si
77;Borgoña 1L;6500;si
78;Sangría 1 Lt.;6500;si
79;Alto del Carmen 35° + Bebida;4500;si
80;Mistral 35° + Bebida;4500;si
81;Jack Daniels (Sabores: Fire, Manzana, N7, Honey);7500;si
82;Jack Daniels + Bebida;8500;si
83;Jack Daniels + Red Bull;9000;si
84;Johnnie Walker Red Label;5500;si
85;Johnnie Walker Red Label + Bebida;6500;si
86;Johnnie Walker Red Label + Red Bull;7000;si
87;Pisco Mistral Nobel + Bebida;6500;si
88;Vodka + Bebida;6000;si
89;Jagger + Bebida;6500;si
90;Jagger + Redbull;7000;si
91;Fernet + Bebida;6000;si
92;Agua Mineral con Gas;1500;si
93;Agua Mineral sin Gas;1500;si
94;Bebida 237cc;1990;si
95;Agua Tónica;2500;si
96;Coca Cola 350cc;2500;si
97;Ginger Ale Nordic 350cc;2500;si
98;Red Bull Sabores;2500;si
99;Limonada;3200;si
100;Jugos Naturales (Frutilla - Mango);3500;si
101;Limonada Menta Jengibre;3500;si
102;Amaretto Sour;4000;si
103;Pisco Sour Tradicional (Copa Fina);4000;si
104;Pisco Sour Sabores 300cc (Frutilla, Mango, Maracuyá, Piña, Frambuesa);5000;si
105;Caipirinha;5990;si
106;Caipiroska;5990;si
107;Tom Collins;5990;si
108;Negroni;6000;si
109;Boulevardier;6000;si
110;Ramazzotti Violetto Spritz;5990;si
111;Aperol Spritz;5990;si
112;Clavo Oxidado;6500;si
113;Daikiri;5500;si
114;Daiquiri Sabores;5990;si
115;Electric Lemonade 500cc;5990;si
116;John Collins;5990;si
117;Ramazzotti Rosato Spritz;5990;si
118;Ruso Blanco;5990;si
119;Ruso Negro;4990;si
120;Tequila Margarita;5500;si
121;Tequila Margarita Sabores;5990;si
122;Moscow Mule (Vodka);6000;si
123;London Mule (Gin);6500;si
124;Botellin 350cc sin Alcohol;3000;si
125;Mojito Cubano sin Alcohol 500cc;4500;si
126;Mojito Sabores sin Alcohol 500cc;4990;si
127;Piña Colada 450cc;6500;si
128;Frutilla Colada 450cc;6500;si
129;Frambuesa Colada 450cc;6500;si
130;Mai Tai;5990;si
131;Agregar Papas;1000;si
132;Trilogía Chilena;19990;si
